country.value,countryiso3code,date,value,indicator
Brazil,BRA,2017,12.792,SL.UEM.TOTL.ZS
Brazil,BRA,2017,83.669202649666,GC.DOD.TOTL.GD.ZS
Brazil,BRA,2017,-1.22429925769002,BN.CAB.XOKA.GD.ZS
Brazil,BRA,2018,1.783666761634,NY.GDP.MKTP.KD.ZG
Brazil,BRA,2018,3.66485028376729,FP.CPI.TOTL.ZG
Brazil,BRA,2018,12.329,SL.UEM.TOTL.ZS
Brazil,BRA,2018,86.6078841211512,GC.DOD.TOTL.GD.ZS
Brazil,BRA,2018,-2.80752008594698,BN.CAB.XOKA.GD.ZS
Brazil,BRA,2019,1.22077782360842,NY.GDP.MKTP.KD.ZG
Brazil,BRA,2019,3.73297621216894,FP.CPI.TOTL.ZG
Brazil,BRA,2019,11.936,SL.UEM.TOTL.ZS
Brazil,BRA,2019,92.5652531945418,GC.DOD.TOTL.GD.ZS
Brazil,BRA,2019,-3.46989581435142,BN.CAB.XOKA.GD.ZS
Brazil,BRA,2020,-3.2767587964736,NY.GDP.MKTP.KD.ZG
Brazil,BRA,2020,3.21176803803376,FP.CPI.TOTL.ZG
Brazil,BRA,2020,13.697,SL.UEM.TOTL.ZS
Brazil,BRA,2020,98.7098819468714,GC.DOD.TOTL.GD.ZS
Brazil,BRA,2020,-1.687788053241,BN.CAB.XOKA.GD.ZS
Brazil,BRA,2021,4.76260437908608,NY.GDP.MKTP.KD.ZG
Brazil,BRA,2021,8.30165975585673,FP.CPI.TOTL.ZG
Brazil,BRA,2021,13.158,SL.UEM.TOTL.ZS
Brazil,BRA,2021,85.0115036768016,GC.DOD.TOTL.GD.ZS
Brazil,BRA,2021,-2.4187656822737,BN.CAB.XOKA.GD.ZS
Brazil,BRA,2022,3.01669435393015,NY.GDP.MKTP.KD.ZG
Brazil,BRA,2022,9.28010608956873,FP.CPI.TOTL.ZG
Brazil,BRA,2022,9.231,SL.UEM.TOTL.ZS
Brazil,BRA,2022,79.1023218878495,GC.DOD.TOTL.GD.ZS
